"Wallet Address",Tag,Amount,Date
0x138AFFdCd2C939E12Ae92dd7bbC828f322608768,ROI,0.003561000000000000,20-11-2025
0x0bEfdBD056aBa2a7c295F5528eDF3E46D9B9273d,ROI,0.009038000000000000,20-11-2025
0x0c204a339B4138462B3BfC9c5a3A113ffF0E1062,ROI,1.380627000000000000,20-11-2025
0xEcb53864adD43Bea7a7D2F531378fe680bf76e03,ROI,0.024538000000000000,20-11-2025
0x0bEfdBD056aBa2a7c295F5528eDF3E46D9B9273d,ROI,0.014751000000000000,20-11-2025
0x1973442833aFf68849e7c270564Cce2dF63Ce575,ROI,0.236508000000000000,20-11-2025
0xC1F47a1E8DcC70B294D4C7414d6599f2e7a34006,ROI,0.147964000000000000,20-11-2025
0xEcb53864adD43Bea7a7D2F531378fe680bf76e03,ROI,0.206780000000000000,20-11-2025
0x95D7cC3A5E581B7BEfD3EE1769d4c84Bdf20eDe4,ROI,0.300900000000000000,20-11-2025
0x28704207203393c19201Dcc1aa38f788F9Bb0Cc2,ROI,0.146589000000000000,20-11-2025
0xB4e1c31580B008a5daD47e7Fec0189CD5F74d8Ba,ROI,0.009129000000000000,20-11-2025
0x138AFFdCd2C939E12Ae92dd7bbC828f322608768,ROI,0.004216000000000000,20-11-2025
0x450c73d7d487d602cFFC03A4943C3d9ccA0420A2,ROI,0.019057000000000000,20-11-2025
0x0bEfdBD056aBa2a7c295F5528eDF3E46D9B9273d,ROI,0.012505000000000000,20-11-2025
0x4aB94298fe4c9c53D2af73d669c1c72BEDB57ea2,ROI,0.044902000000000000,20-11-2025
0x4aB94298fe4c9c53D2af73d669c1c72BEDB57ea2,ROI,0.129061000000000000,20-11-2025
0x0bEfdBD056aBa2a7c295F5528eDF3E46D9B9273d,ROI,1.024329000000000000,20-11-2025
0x0bEfdBD056aBa2a7c295F5528eDF3E46D9B9273d,ROI,0.015090000000000000,20-11-2025
0x9362ddf1F0BA22681620D8B848E295Ed7Efb102E,ROI,0.182031000000000000,20-11-2025
0x603feEA44d9e5f9426E2510B0d8C798fb4DE5B87,ROI,0.046400000000000000,20-11-2025
0x0c204a339B4138462B3BfC9c5a3A113ffF0E1062,ROI,0.046400000000000000,20-11-2025
0x603feEA44d9e5f9426E2510B0d8C798fb4DE5B87,ROI,0.030126000000000000,20-11-2025
0x95D7cC3A5E581B7BEfD3EE1769d4c84Bdf20eDe4,ROI,0.069207000000000000,20-11-2025
0x0c204a339B4138462B3BfC9c5a3A113ffF0E1062,ROI,0.030226000000000000,20-11-2025
0x95D7cC3A5E581B7BEfD3EE1769d4c84Bdf20eDe4,ROI,0.003634000000000000,20-11-2025
0x9E576CaE364bDf86258524F644Ae360619d1Aa54,ROI,0.739720000000000000,20-11-2025
0x138AFFdCd2C939E12Ae92dd7bbC828f322608768,ROI,0.006000000000000000,20-11-2025
0x138AFFdCd2C939E12Ae92dd7bbC828f322608768,ROI,0.015091000000000000,20-11-2025
0xeF5f042e9584c4aF2798e14d02E7AcFA056A392a,ROI,0.159987000000000000,20-11-2025
0x70935c2620674a5AcA628529e064eBdAbF6c31E3,ROI,0.013173000000000000,20-11-2025
0x0bEfdBD056aBa2a7c295F5528eDF3E46D9B9273d,ROI,0.015318000000000000,20-11-2025
0x70935c2620674a5AcA628529e064eBdAbF6c31E3,ROI,0.065866000000000000,20-11-2025
0x1D2EC9Cc54853aF985534CDa48874c1ccd838c7B,ROI,0.004643000000000000,20-11-2025
0x70935c2620674a5AcA628529e064eBdAbF6c31E3,ROI,0.328264000000000000,20-11-2025
0x1D2EC9Cc54853aF985534CDa48874c1ccd838c7B,ROI,0.003157000000000000,20-11-2025
0x00185a3A2DE1B8C544EA4a41fBBDDB850d4B119d,ROI,0.017629000000000000,20-11-2025
0x0bEfdBD056aBa2a7c295F5528eDF3E46D9B9273d,ROI,0.004685000000000000,20-11-2025
0x00185a3A2DE1B8C544EA4a41fBBDDB850d4B119d,ROI,0.087989000000000000,20-11-2025
0x08AeC635DB26D4135656e8a8DAC7472200e6E03A,ROI,0.004592000000000000,20-11-2025
0x99D45c6dB8545D280312dE394cDDC1cbF78B2c61,ROI,0.012582000000000000,20-11-2025
0x00b03bDbDc4c50c32A490F2790d0AAdfD55c34Fc,ROI,0.117914000000000000,20-11-2025
0x99D45c6dB8545D280312dE394cDDC1cbF78B2c61,ROI,0.062912000000000000,20-11-2025
0x82EA010B7fd255917c533b06Ad0E9339D135C807,ROI,0.128058000000000000,20-11-2025
0x99D45c6dB8545D280312dE394cDDC1cbF78B2c61,ROI,0.208190000000000000,20-11-2025
0x7ed7dfd78a0df3018230c3e02a335c7c230e02b9,ROI,0.093837000000000000,20-11-2025
0x99D45c6dB8545D280312dE394cDDC1cbF78B2c61,ROI,1.036428000000000000,20-11-2025
0x138AFFdCd2C939E12Ae92dd7bbC828f322608768,ROI,0.015092000000000000,20-11-2025
0xCfb867628409346627E6bBd114B6Ce3459f4E210,ROI,0.017774000000000000,20-11-2025
0x138AFFdCd2C939E12Ae92dd7bbC828f322608768,ROI,0.003018000000000000,20-11-2025
0xB9595C14318567fBCCD585a811C788D22c1e4F0C,ROI,0.017626000000000000,20-11-2025
0x138AFFdCd2C939E12Ae92dd7bbC828f322608768,ROI,0.004676000000000000,20-11-2025
0xCfb867628409346627E6bBd114B6Ce3459f4E210,ROI,0.088755000000000000,20-11-2025
0x138AFFdCd2C939E12Ae92dd7bbC828f322608768,ROI,0.044140000000000000,20-11-2025
0xB9595C14318567fBCCD585a811C788D22c1e4F0C,ROI,0.088075000000000000,20-11-2025
0x1d884CcE713B5d52d4c54B47EDe4C8a2095DAec0,ROI,0.003678000000000000,20-11-2025
0xB9595C14318567fBCCD585a811C788D22c1e4F0C,ROI,0.437419000000000000,20-11-2025
0x487A278680B68750b62CC30aEe54bDb0a2710611,ROI,0.004439000000000000,20-11-2025
0xCfb867628409346627E6bBd114B6Ce3459f4E210,ROI,0.443022000000000000,20-11-2025
0x487A278680B68750b62CC30aEe54bDb0a2710611,ROI,0.009673000000000000,20-11-2025
